"Fish_ID_comp","Date","Fish_ID_day","Trap","Habitat","PIT_tag","Species","FL","TL","Weight","Diet","Fin.Clip","Pink_Salmon_pres_abs","date","doy","age_cluster"
223,"6/4/2021","7",1,"Seep",NA,"Coho",59,64,2.6,"Y","N",0,2021-06-04,155,"age-1"
224,"6/4/2021","8",1,"Seep",NA,"Coho",55,59,1.7,"Y","N",0,2021-06-04,155,"age-1"
225,"6/4/2021","9",1,"Seep",NA,"Coho",55,60,2.1,"Y","N",0,2021-06-04,155,"age-1"
232,"6/4/2021","16",4,"Main_Side",NA,"Coho",55,60,1.7,"Y","N",0,2021-06-04,155,"age-1"
233,"6/4/2021","17",4,"Main_Side",NA,"Coho",55,59,1.7,"Y","N",0,2021-06-04,155,"age-1"
236,"6/4/2021","20",4,"Main_Side",NA,"Coho",48,51,1,"Y","N",0,2021-06-04,155,"age-1"
239,"6/9/2021","3",8,"Seep",NA,"Coho",58,61,1.8,"Y","N",0,2021-06-09,160,"age-1"
241,"6/9/2021","5",8,"Seep",NA,"Coho",54,50,1.2,"Y","N",0,2021-06-09,160,"age-1"
242,"6/9/2021","6",8,"Seep",NA,"Coho",62,67,2.5,"Y","N",0,2021-06-09,160,"age-1"
243,"6/9/2021","7",7,"Seep",NA,"Coho",70,75,3.3,"Y","N",0,2021-06-09,160,"age-1"
245,"6/9/2021","9",7,"Seep",NA,"Coho",63,67,2,"Y","N",0,2021-06-09,160,"age-1"
249,"6/9/2021","13",1,"Main_Side",NA,"Coho",57,61,2,"Y","N",0,2021-06-09,160,"age-1"
250,"6/9/2021","14",1,"Main_Side",NA,"Coho",65,70,1.8,"Y","N",0,2021-06-09,160,"age-1"
251,"6/9/2021","15",1,"Main_Side",NA,"Coho",60,65,2.3,"Y","N",0,2021-06-09,160,"age-1"
252,"6/9/2021","16",1,"Main_Side",NA,"Coho",56,60,1.6,"Y","N",0,2021-06-09,160,"age-1"
268,"6/9/2021","32",6,"Seep",NA,"Coho",61,67,2.4,"Y","N",0,2021-06-09,160,"age-1"
269,"6/9/2021","33",6,"Seep",NA,"Coho",55,59,1.5,"Y","N",0,2021-06-09,160,"age-1"
270,"6/10/2021","1",4,"Seep",NA,"Coho",59,63,1.8,"Y","N",0,2021-06-10,161,"age-1"
272,"6/10/2021","3",4,"Seep",NA,"Coho",60,65,2.2,"Y","N",0,2021-06-10,161,"age-1"
277,"6/10/2021","8",3,"Main_Side",NA,"Coho",69,75,3.6,"Y","N",0,2021-06-10,161,"age-1"
278,"6/10/2021","9",3,"Main_Side",NA,"Coho",60,65,2.4,"Y","N",0,2021-06-10,161,"age-1"
279,"6/10/2021","10",3,"Main_Side",NA,"Coho",68,73,3.1,"Y","N",0,2021-06-10,161,"age-1"
281,"6/10/2021","12",3,"Main_Side",NA,"Coho",57,61,2,"Y","N",0,2021-06-10,161,"age-1"
282,"6/10/2021","13",3,"Main_Side",NA,"Coho",59,63,2.2,"Y","N",0,2021-06-10,161,"age-1"
283,"6/10/2021","14",2,"Main_Side",NA,"Coho",83,89,6.3,"Y","N",0,2021-06-10,161,"age-1"
290,"6/10/2021","21",1,"Seep",NA,"Coho",58,62,2,"N","N",0,2021-06-10,161,"age-1"
292,"6/10/2021","23",1,"Seep",NA,"Coho",65,71,3.2,"N","N",0,2021-06-10,161,"age-1"
