"","year","date","doy","PIT_tag","Habitat","age_cluster","FL","TL","Weight","mean_Temp_C","mean_Flow_cms"
"172",2021,"2021-06-17",168,NA,"Main_Side","age-0",35,36,0.4,6.51708333333333,7.28674447463159
"173",2021,"2021-06-17",168,NA,"Main_Side","age-0",34,35,0.3,6.51708333333333,7.28674447463159
"174",2021,"2021-06-17",168,NA,"Main_Side","age-0",35,36,0.3,6.51708333333333,7.28674447463159
"175",2021,"2021-06-17",168,NA,"Main_Side","age-0",32,32,0.2,6.51708333333333,7.28674447463159
"176",2021,"2021-06-17",168,NA,"Main_Side","age-0",34,35,0.3,6.51708333333333,7.28674447463159
"177",2021,"2021-06-17",168,NA,"Main_Side","age-0",34,35,0.2,6.51708333333333,7.28674447463159
"178",2021,"2021-06-17",168,NA,"Main_Side","age-0",33,34,0.2,6.51708333333333,7.28674447463159
"179",2021,"2021-06-17",168,NA,"Main_Side","age-0",35,36,0.3,6.51708333333333,7.28674447463159
"180",2021,"2021-06-17",168,NA,"Main_Side","age-0",32,32,0.2,6.51708333333333,7.28674447463159
"181",2021,"2021-06-17",168,NA,"Main_Side","age-0",34,35,0.3,6.51708333333333,7.28674447463159
"182",2021,"2021-06-17",168,NA,"Main_Side","age-0",32,32,0.2,6.51708333333333,7.28674447463159
"183",2021,"2021-06-17",168,NA,"Main_Side","age-0",32,33,0.2,6.51708333333333,7.28674447463159
"184",2021,"2021-06-17",168,NA,"Main_Side","age-0",32,32,0.2,6.51708333333333,7.28674447463159
"185",2021,"2021-06-17",168,NA,"Main_Side","age-1",69,75,3.4,6.51708333333333,7.28674447463159
"186",2021,"2021-06-17",168,NA,"Main_Side","age-1",52,56,1.5,6.51708333333333,7.28674447463159
"187",2021,"2021-06-17",168,NA,"Main_Side","age-1",59,64,2.1,6.51708333333333,7.28674447463159
"188",2021,"2021-06-17",168,NA,"Main_Side","age-1",59,64,2.5,6.51708333333333,7.28674447463159
"189",2021,"2021-06-17",168,NA,"Main_Side","age-1",67,73,3.3,6.51708333333333,7.28674447463159
"190",2021,"2021-06-17",168,NA,"Main_Side","age-1",59,65,2.4,6.51708333333333,7.28674447463159
"191",2021,"2021-06-17",168,NA,"Main_Side","age-1",70,76,4.1,6.51708333333333,7.28674447463159
"192",2021,"2021-06-17",168,NA,"Main_Side","age-1",76,83,5.7,6.51708333333333,7.28674447463159
"193",2021,"2021-06-17",168,NA,"Main_Side","age-1",80,86,6.1,6.51708333333333,7.28674447463159
"194",2021,"2021-06-17",168,NA,"Main_Side","age-1",73,78,4.1,6.51708333333333,7.28674447463159
"195",2021,"2021-06-17",168,NA,"Main_Side","age-1",77,83,5.3,6.51708333333333,7.28674447463159
"196",2021,"2021-06-17",168,NA,"Main_Side","age-1",63,68,3.5,6.51708333333333,7.28674447463159
"197",2021,"2021-06-17",168,NA,"Main_Side","age-1",70,75,4.7,6.51708333333333,7.28674447463159
"198",2021,"2021-06-17",168,NA,"Main_Side","age-1",69,74,3.8,6.51708333333333,7.28674447463159
"199",2021,"2021-06-17",168,NA,"Main_Side","age-1",62,67,3,6.51708333333333,7.28674447463159
"200",2021,"2021-06-17",168,NA,"Main_Side","age-1",51,55,1.5,6.51708333333333,7.28674447463159
"201",2021,"2021-06-17",168,NA,"Main_Side","age-1",60,64,2.4,6.51708333333333,7.28674447463159
"202",2021,"2021-06-17",168,NA,"Main_Side","age-0",33,35,0.1,6.51708333333333,7.28674447463159
"203",2021,"2021-06-17",168,NA,"Main_Side","age-0",33,34,0.3,6.51708333333333,7.28674447463159
